box_id,layer,box_number,hour,simulation_count,mean_simulated_value,stdev_simulated_value,min_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,max_simulated_value,risk_percent,observed_average,observed_stdev
L3B12,3,12,6,500,-0.5943213376766847,0.39517667294575426,-1.6409086593068962,-1.2919677359171282,-0.5856414201778477,0.05135916594162535,0.5925365760928191,0.0,-0.6,0.3999999999999999
L3B12,3,12,12,500,-0.14824096753378502,1.342333447690848,-3.337466727975885,-2.4694470248180242,-0.11592534863228596,2.059878770496413,3.928866457612071,0.0,-0.1399999999999999,1.3352902306240393
L3B12,3,12,18,500,0.8583188281293862,1.2175442531032357,-3.3366971390016253,-1.165262899410035,0.89721779681324,2.901426297242079,4.1268458995983135,0.2,0.8800000000000001,1.2235195135346228
L3B12,3,12,24,500,1.7991257815144566,2.0193345841148984,-3.475729867095104,-1.615160280199047,1.8150839476731508,4.952887889260279,8.954633613437728,13.600000000000001,1.72,1.9253571097331528
L3B13,3,13,0,500,-0.7614542021133915,0.5117629362490568,-1.9924016498546049,-1.699616183283791,-0.7268429982116911,0.05414699998955146,0.8981505155910401,0.0,-0.72,0.4969909455915671
L3B13,3,13,6,500,-0.5267531991167772,0.8870787720054748,-2.9113101466129194,-1.9662020282249884,-0.5366901914725395,0.9565708313623762,2.699943855856504,0.0,-0.48,0.9038805230781334
L3B13,3,13,12,500,1.144459798767088,2.047638308860121,-6.365117040469594,-2.150216413926064,1.1041721295179576,4.565536674254814,8.906639697924376,7.3999999999999995,1.16,2.021880312976018
L3B13,3,13,18,500,2.8479099864511643,3.0045189955636538,-5.457936420191618,-1.7852528150222258,2.5981749749143854,7.964797487081261,10.620854871901768,34.4,2.96,2.9762392376957867
L3B13,3,13,24,500,4.4412210321561805,3.08321137298761,-3.818720459855127,-0.4777234968497077,4.297167984630915,9.833868304705199,14.765831487323029,54.400000000000006,4.540000000000001,3.0517208260258664
L3B14,3,14,0,500,-0.7688666139989574,0.11568234150290296,-1.1110561433538977,-0.9620010587403531,-0.7660887035603088,-0.5942564618868286,-0.4140820437715032,0.0,-0.76,0.1140175425099138
L3B14,3,14,6,500,-0.3946914470540951,0.9593803526200282,-3.854375143509064,-2.1077054655569416,-0.413914440028075,1.131436076014006,2.79756383882986,0.0,-0.34,0.9208691546577072
L3B14,3,14,12,500,-0.13102674671743145,1.2829001897253456,-4.4345840979717845,-2.075298067326805,-0.07087220558325574,1.8964333232900228,3.678561457145913,0.0,-0.12,1.3084341787036902
L3B14,3,14,18,500,0.42562162499950074,2.0744006900463994,-6.632165981086168,-2.9160896238345058,0.41072036017403685,3.8797516598566437,6.662364302858398,4.2,0.4599999999999999,2.141961717678446
L3B14,3,14,24,500,1.1206977280493235,2.266131755934101,-5.499736486167764,-2.7281085816358526,1.0565048242374786,4.855439193494208,8.947244205707978,9.6,1.1800000000000002,2.3199137915017447
L3B15,3,15,0,500,-0.5521039073080403,0.467348455763639,-1.9756091150257653,-1.3646666552293216,-0.5171563831196975,0.12475035123795215,0.9155705621830544,0.0,-0.52,0.4764451699828638
L3B15,3,15,6,500,0.06791577983629236,0.9134668893836224,-2.78963426705669,-1.4538203590088898,0.0841392888707832,1.525396353390986,2.5315038173167075,0.0,0.0599999999999999,0.907193474403338
L3B15,3,15,12,500,1.0599524149097217,1.5936356728591643,-3.767251403049268,-1.5806948295352685,1.1094926410810435,3.5824087785430896,7.391269928966818,3.0,1.06,1.6786899654194636
L3B15,3,15,18,500,1.588380321011165,1.6841212212384897,-3.455493299806478,-1.1466476665121597,1.542452841061381,4.343466604965032,5.705546213383093,8.6,1.64,1.619567843592852
L3B15,3,15,24,500,2.922846111468879,2.2705531725327375,-4.116932125136431,-0.7558557437137706,2.9361430062466347,6.596847273345857,11.54211590594942,32.4,2.8800000000000003,2.2342784070030297
L4B16,4,16,0,500,-0.4239596603244466,0.3092057320117403,-1.1883257442046389,-0.9086605658336783,-0.43958766400691335,0.1098045597533624,0.4588251301197207,0.0,-0.4249999999999999,0.3095695936834451
L4B16,4,16,6,500,-0.4082084470755516,0.3907136755457382,-1.8896387074175096,-1.0816200465097519,-0.4065597790663955,0.22112235045504103,0.69279376465915,0.0,-0.425,0.3862210075418824
L4B16,4,16,12,500,0.6650033405047707,1.1094631631626624,-2.1905763850580238,-1.1361946870032031,0.6670436736956815,2.5283083582718784,4.266949042683831,0.2,0.6749999999999999,1.0996211468804455
L4B16,4,16,18,500,2.8297286865679685,1.8068736513795765,-2.523899067807986,-0.03807646248532385,2.8614979960398985,5.8339365359751625,8.372591162645055,25.6,2.75,1.7710637105046978
L4B16,4,16,24,500,4.618119717310796,1.837607123714317,-1.4696404680245363,1.679403816837561,4.657470872856221,7.52383642410213,9.867908288929735,63.2,4.625,1.8391574157749528
L4B17,4,17,0,500,-0.1973435369458474,0.48636338922596306,-1.5296621746718764,-0.987448471121157,-0.17376439158947476,0.5869844474733158,1.541622560014531,0.0,-0.2,0.4830458915396479
L4B17,4,17,6,500,0.11216658658085062,0.5362848479587121,-1.5699189113225098,-0.7613198038621477,0.11811671366034551,0.996324432462712,1.913107676481552,0.0,0.125,0.5560275772537426
L4B17,4,17,12,500,2.0643184964142267,1.2522268098526668,-1.480537343296267,-0.05259956123460976,2.0531238600657913,4.13081246932741,6.278385541265361,6.0,2.05,1.239623598785804
