box_id,layer,box_number,hour,x_inches,y_inches,z_inches,exposed_surfaces,observed_mean,observed_stdev,observed_trial_count,simulation_count,mean_simulated_value,stdev_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,risk_percent,mean_difference,absolute_mean_difference,observed_is_risky,monte_carlo_is_risky,risk_agreement,observed_inside_5_95_interval
L3B15,3,15,24,40.0,27.75,15.0,2,2.88,2.2342784070030306,5,500,2.922846111468879,2.270553172532737,-0.7558557437137706,2.9361430062466347,6.596847273345857,32.4,0.042846111468878956,0.042846111468878956,False,False,True,True
L4B16,4,16,0,11.75,8.0,5.0,3,-0.425,0.3095695936834451,4,500,-0.4239596603244466,0.3092057320117403,-0.9086605658336784,-0.4395876640069133,0.1098045597533624,0.0,0.0010403396755533922,0.0010403396755533922,False,False,True,True
L4B16,4,16,6,11.75,8.0,5.0,3,-0.425,0.3862210075418822,4,500,-0.4082084470755516,0.3907136755457382,-1.081620046509752,-0.4065597790663955,0.221122350455041,0.0,0.016791552924448394,0.016791552924448394,False,False,True,True
L4B16,4,16,12,11.75,8.0,5.0,3,0.6749999999999999,1.0996211468804455,4,500,0.6650033405047707,1.1094631631626624,-1.1361946870032031,0.6670436736956815,2.5283083582718784,0.2,-0.00999665949522921,0.00999665949522921,False,False,True,True
L4B16,4,16,18,11.75,8.0,5.0,3,2.75,1.7710637105046974,4,500,2.8297286865679685,1.8068736513795765,-0.0380764624853238,2.8614979960398985,5.8339365359751625,25.6,0.0797286865679685,0.0797286865679685,False,False,True,True
L4B16,4,16,24,11.75,8.0,5.0,3,4.625,1.839157415774952,4,500,4.618119717310796,1.837607123714317,1.679403816837561,4.657470872856221,7.52383642410213,63.2,-0.0068802826892042646,0.0068802826892042646,True,True,True,True
L4B17,4,17,0,35.25,8.0,5.0,3,-0.2,0.4830458915396479,4,500,-0.1973435369458474,0.486363389225963,-0.987448471121157,-0.1737643915894747,0.5869844474733158,0.0,0.0026564630541526246,0.0026564630541526246,False,False,True,True
L4B17,4,17,6,35.25,8.0,5.0,3,0.125,0.5560275772537425,4,500,0.1121665865808506,0.5362848479587121,-0.7613198038621477,0.1181167136603455,0.996324432462712,0.0,-0.012833413419149398,0.012833413419149398,False,False,True,True
L4B17,4,17,12,35.25,8.0,5.0,3,2.05,1.2396235987858035,4,500,2.0643184964142267,1.2522268098526668,-0.0525995612346097,2.0531238600657917,4.13081246932741,6.0,0.014318496414226889,0.014318496414226889,False,False,True,True
L4B17,4,17,18,35.25,8.0,5.0,3,3.75,1.5242484486898231,4,500,3.68847921775222,1.5357057969046644,1.1446173960985817,3.7651920511597474,6.164420944354228,42.6,-0.061520782247780126,0.061520782247780126,False,False,True,True
L4B17,4,17,24,35.25,8.0,5.0,3,5.575,1.664081328140745,4,500,5.615683654286565,1.7272223080133848,2.6307569516453437,5.618809880737524,8.294780452083902,81.6,0.04068365428656495,0.04068365428656495,True,True,True,True
L4B18,4,18,0,8.0,27.75,5.0,3,-0.3249999999999999,0.3862210075418822,4,500,-0.3408129825699829,0.398676100763452,-1.045028097765202,-0.3263637315335909,0.2993372061707076,0.0,-0.01581298256998298,0.01581298256998298,False,False,True,True
L4B18,4,18,6,8.0,27.75,5.0,3,0.0499999999999999,0.957427107756338,4,500,0.0781181362794133,0.9373823865928722,-1.4997076852792317,0.0713843371269951,1.5811523978160886,0.0,0.028118136279413404,0.028118136279413404,False,False,True,True
L4B18,4,18,12,8.0,27.75,5.0,3,2.725,1.0874281585465773,4,500,2.749856528239105,1.058707318789604,1.1054013493545782,2.7784862017517624,4.362735975887253,12.0,0.024856528239105113,0.024856528239105113,False,False,True,True
L4B18,4,18,18,8.0,27.75,5.0,3,4.85,1.7000000000000002,4,500,4.890080441627301,1.7369958726839387,2.151543639002063,5.005133099975466,7.758142924025104,69.39999999999999,0.04008044162730151,0.04008044162730151,True,True,True,True
L4B18,4,18,24,8.0,27.75,5.0,3,6.875,2.003954423966108,4,500,6.813776749094893,1.9430827470915,3.5164790519246814,6.854703240100589,9.936644590877696,91.6,-0.061223250905107385,0.061223250905107385,True,True,True,True
L4B19,4,19,0,24.0,27.75,5.0,2,-0.675,0.1258305739211791,4,500,-0.6610553587874787,0.1345048837647331,-0.8713553135235471,-0.6610576294902324,-0.4336610059279232,0.0,0.01394464121252137,0.01394464121252137,False,False,True,True
L4B19,4,19,6,24.0,27.75,5.0,2,-0.75,0.0577350269189626,4,500,-0.7490280241791053,0.0578616090749841,-0.8436539659685298,-0.7479704749632703,-0.6488537686445766,0.0,0.0009719758208946994,0.0009719758208946994,False,False,True,True
L4B19,4,19,12,24.0,27.75,5.0,2,-0.4,0.7527726527090811,4,500,-0.3694855580561486,0.7580979657940212,-1.7058003578130112,-0.3618186069230179,0.8230260148624631,0.0,0.030514441943851445,0.030514441943851445,False,False,True,True
